latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-7.7029,109.0081,311.9,2,1.4,2023-01-07,0314,Terra,MODIS,0,61.03,293,19,D,2
-7.7159,113.5749,308.8,1.4,1.2,2023-01-07,0558,Aqua,MODIS,25,61.03,290.9,4.9,D,2
-8.5029,117.4255,319.9,1,1,2023-01-07,0558,Aqua,MODIS,55,61.03,301.3,8.5,D,2
-6.6341,110.7106,316.6,2.2,1.4,2023-01-07,0559,Aqua,MODIS,45,61.03,294.8,20.3,D,2
-3.9214,116.2512,310,1,1,2023-01-07,0559,Aqua,MODIS,0,61.03,290,3.6,D,0
-3.6331,115.4416,316.7,1,1,2023-01-07,0559,Aqua,MODIS,71,61.03,289.1,10.4,D,0
-8.1126,112.9352,303.5,1.5,1.2,2023-01-07,1823,Aqua,MODIS,55,61.03,278.8,15,N,1
-0.8265,119.9128,312.4,1,1,2023-01-08,0215,Terra,MODIS,54,61.03,276.4,8.9,D,0
-1.3792,121.5539,315.6,1.2,1.1,2023-01-08,0215,Terra,MODIS,74,61.03,285.1,14.2,D,0
-2.0072,121.4376,308.6,1.2,1.1,2023-01-08,0215,Terra,MODIS,58,61.03,283.7,6.6,D,2
-8.1097,112.9182,316.7,1.6,1.2,2023-01-08,0217,Terra,MODIS,64,61.03,286.8,24.3,D,1
-8.1117,112.9312,328.6,1.6,1.2,2023-01-08,0217,Terra,MODIS,62,61.03,289.9,46.9,D,1
-6.4495,107.4538,317.5,1,1,2023-01-08,0641,Aqua,MODIS,51,61.03,297.2,7.7,D,2
0.5535,102.2551,314,1.2,1.1,2023-01-08,0643,Aqua,MODIS,43,61.03,292.8,9.7,D,0
0.6618,102.8323,313.8,1.1,1.1,2023-01-08,0643,Aqua,MODIS,37,61.03,295.5,7.6,D,0
-8.1182,112.925,317,1.2,1.1,2023-01-08,1434,Terra,MODIS,94,61.03,269.3,25.1,N,1
-6.9603,107.7996,317.9,1,1,2023-01-09,0258,Terra,MODIS,31,61.03,297.2,7.8,D,2
-2.5811,121.3809,363.3,1.1,1,2023-01-09,0546,Aqua,MODIS,94,61.03,301.9,97.3,D,2
4.5268,95.8214,309.8,1.2,1.1,2023-01-09,0727,Aqua,MODIS,30,61.03,292.6,4.7,D,0
-2.6156,140.6777,312.6,2.3,1.5,2023-01-10,0021,Terra,MODIS,41,61.03,290.5,16.9,D,0
-2.0083,121.4366,310,1,1,2023-01-10,0159,Terra,MODIS,36,61.03,286.9,5.5,D,2
-2.5725,121.3854,312.1,1,1,2023-01-10,0200,Terra,MODIS,52,61.03,275.7,9.1,D,2
-3.9052,122.4246,310,1,1,2023-01-10,0200,Terra,MODIS,39,61.03,281.7,5.1,D,2
-2.5815,121.3841,308.2,1,1,2023-01-10,0200,Terra,MODIS,49,61.03,275.7,6.2,D,2
-3.4069,119.3124,312.2,1.3,1.1,2023-01-10,0200,Terra,MODIS,52,61.03,291.5,7.3,D,2
-3.8747,122.4019,316.4,1,1,2023-01-10,0200,Terra,MODIS,70,61.03,288.7,9.6,D,2
-3.9039,122.4158,310.6,1,1,2023-01-10,0200,Terra,MODIS,47,61.03,284.2,5.4,D,2
-8.1098,112.9202,331.5,3.2,1.7,2023-01-10,0201,Terra,MODIS,55,61.03,297.2,134.6,D,1
-8.2879,118.062,316.2,1.3,1.1,2023-01-10,0201,Terra,MODIS,42,61.03,300,10.7,D,0
-8.1083,112.9149,323.8,3.2,1.7,2023-01-10,0201,Terra,MODIS,59,61.03,294.6,96.1,D,1
-2.2686,102.0874,308.1,1.5,1.2,2023-01-10,0338,Terra,MODIS,63,61.03,289.4,9,D,0
-8.1177,112.9302,337.1,1.2,1.1,2023-01-10,0627,Aqua,MODIS,87,61.03,293.3,43.3,D,1
-8.1193,112.9193,331.4,1.2,1.1,2023-01-10,0627,Aqua,MODIS,83,61.03,302.6,33,D,1
-2.6861,105.9552,312.3,1.3,1.1,2023-01-10,0629,Aqua,MODIS,67,61.03,281.6,10.8,D,0
-3.4235,102.7745,310.8,2.2,1.4,2023-01-10,0629,Aqua,MODIS,60,61.03,290.9,16.9,D,0
-2.8622,106.4522,314.5,1.2,1.1,2023-01-10,0629,Aqua,MODIS,70,61.03,286.1,10.2,D,0
-2.8695,106.2399,315.4,1.2,1.1,2023-01-10,0629,Aqua,MODIS,71,61.03,288.2,11.4,D,0
-2.7978,106.3934,308.9,1.2,1.1,2023-01-10,0629,Aqua,MODIS,54,61.03,284.1,7.1,D,0
-2.7361,106.5287,308.5,1.2,1.1,2023-01-10,0629,Aqua,MODIS,33,61.03,285.8,6.2,D,0
-2.7127,105.9818,322.1,1.3,1.1,2023-01-10,0629,Aqua,MODIS,72,61.03,276.6,22.7,D,0
-2.5387,106.2081,317.9,1.2,1.1,2023-01-10,0629,Aqua,MODIS,71,61.03,284.3,15.6,D,0
-2.5402,106.1973,318.1,1.2,1.1,2023-01-10,0629,Aqua,MODIS,75,61.03,286,15.9,D,0
-2.7461,102.8481,311.2,2.1,1.4,2023-01-10,0629,Aqua,MODIS,63,61.03,289.2,15.6,D,0
-2.5664,102.0772,306,2.4,1.5,2023-01-10,0629,Aqua,MODIS,44,61.03,283.7,16.6,D,0
-8.1212,112.9099,315,2.3,1.5,2023-01-10,1418,Terra,MODIS,89,61.03,282.5,51,N,1
-8.1109,112.9053,307.1,2.3,1.5,2023-01-10,1418,Terra,MODIS,70,61.03,280.6,34.4,N,1
-8.1076,112.9306,304.5,2.3,1.5,2023-01-10,1418,Terra,MODIS,60,61.03,279.3,29.2,N,1
-8.1186,112.9291,332.3,1.1,1,2023-01-11,0242,Terra,MODIS,86,61.03,301,32.8,D,1
-7.2998,108.7699,309.9,1.2,1.1,2023-01-11,0242,Terra,MODIS,36,61.03,286.7,5.5,D,2
-8.1111,112.9251,340.5,1.1,1,2023-01-11,0242,Terra,MODIS,91,61.03,298.1,47.6,D,1
-8.1127,112.9366,318.4,1.1,1,2023-01-11,0242,Terra,MODIS,34,61.03,298,13.9,D,1
-6.953,110.4683,315,1,1,2023-01-11,0242,Terra,MODIS,0,61.03,291.8,3.5,D,2
-6.5686,139.0171,311.6,3.9,1.8,2023-01-11,0353,Aqua,MODIS,54,61.03,285.5,44.8,D,0
-6.5578,139.0202,309.8,3.9,1.8,2023-01-11,0353,Aqua,MODIS,38,61.03,285.2,35.9,D,0
-3.7631,120.2304,313.9,1.3,1.1,2023-01-11,0533,Aqua,MODIS,72,61.03,295.1,8.2,D,0
-8.1107,112.926,305.3,1.4,1.2,2023-01-11,1459,Terra,MODIS,64,61.03,278.6,15.1,N,1
-2.156,115.5835,306.4,2.8,1.6,2023-01-11,1500,Terra,MODIS,68,61.03,288.8,29,N,2
-2.1527,115.5765,304.7,2.8,1.6,2023-01-11,1500,Terra,MODIS,61,61.03,287.7,24.4,N,2
-2.1556,115.5846,310.1,1,1,2023-01-11,1756,Aqua,MODIS,79,61.03,290.7,9.1,N,2
-8.1143,112.9262,312,1.2,1.1,2023-01-11,1757,Aqua,MODIS,84,61.03,273.7,18.8,N,1
-3.5248,126.6799,309.1,1,1,2023-01-12,0144,Terra,MODIS,65,61.03,289.9,5.3,D,0
1.4767,101.7083,317.4,1,1,2023-01-12,0321,Terra,MODIS,32,61.03,296.9,8.5,D,0
-7.0544,107.7509,308.6,2.4,1.5,2023-01-12,0323,Terra,MODIS,41,61.03,287.3,14,D,2
-8.0644,114.1835,322.6,1,1,2023-01-12,0614,Aqua,MODIS,70,61.03,297.8,14.7,D,0
-8.1714,113.192,320,1,1,2023-01-12,0614,Aqua,MODIS,72,61.03,297.3,8.9,D,2
-7.228,110.4247,317.7,1.2,1.1,2023-01-12,0614,Aqua,MODIS,51,61.03,296.7,12.5,D,2
-2.7332,110.9354,327.4,1.1,1,2023-01-12,0616,Aqua,MODIS,78,61.03,294.8,19.9,D,0
-2.7346,110.926,338.8,1.1,1,2023-01-12,0616,Aqua,MODIS,90,61.03,295.6,37.4,D,0
-2.7359,110.9166,316.2,1.1,1,2023-01-12,0616,Aqua,MODIS,71,61.03,292.2,8.1,D,0
-2.7241,110.9341,335.1,1.1,1,2023-01-12,0616,Aqua,MODIS,76,61.03,291.7,31.5,D,0
-2.7254,110.9247,319.7,1.1,1,2023-01-12,0616,Aqua,MODIS,75,61.03,294,11.7,D,0
-3.0609,106.5656,326.9,2,1.4,2023-01-12,0616,Aqua,MODIS,73,61.03,284.8,58.3,D,0
-3.0634,106.5479,321.3,2,1.4,2023-01-12,0616,Aqua,MODIS,75,61.03,282.5,42.1,D,0
-3.0585,106.5602,330,2,1.4,2023-01-12,0616,Aqua,MODIS,83,61.03,285.9,66.4,D,0
-4.0959,138.9444,312.6,1.1,1,2023-01-13,0047,Terra,MODIS,35,61.03,297,6.9,D,2
-8.5021,117.4245,316.8,1.2,1.1,2023-01-13,0226,Terra,MODIS,49,61.03,296,7.2,D,2
-8.1139,112.9221,332.9,1.1,1.1,2023-01-13,0227,Terra,MODIS,83,61.03,293.9,33.3,D,1
-3.579,126.6856,334.5,1,1,2023-01-13,0519,Aqua,MODIS,87,61.03,300.2,28.3,D,0
-4.9574,122.5656,311.7,1.5,1.2,2023-01-13,0519,Aqua,MODIS,50,61.03,293.1,10,D,0
-4.9286,122.5337,313.1,1.5,1.2,2023-01-13,0519,Aqua,MODIS,57,61.03,288.5,12.1,D,0
-3.5778,126.6945,361.8,1,1,2023-01-13,0519,Aqua,MODIS,100,61.03,301.9,84.4,D,0
-3.5579,126.5769,315.2,1,1,2023-01-13,0519,Aqua,MODIS,45,61.03,297.3,7.8,D,0
-3.2441,127.0938,326.6,1,1,2023-01-13,0519,Aqua,MODIS,76,61.03,297.7,15.8,D,0
-3.9046,122.406,318.3,1.5,1.2,2023-01-13,0519,Aqua,MODIS,39,61.03,299.4,14.9,D,2
-3.8798,122.396,318.7,1.5,1.2,2023-01-13,0519,Aqua,MODIS,27,61.03,299.8,15.6,D,2
-3.9028,122.2338,326.1,1.5,1.2,2023-01-13,0519,Aqua,MODIS,80,61.03,295.9,30.6,D,2
-2.9988,121.5796,312.5,1.7,1.3,2023-01-13,0520,Aqua,MODIS,66,61.03,295.8,14.7,D,0
-1.4623,127.4364,324.4,1.1,1,2023-01-13,0520,Aqua,MODIS,59,61.03,299.6,16.9,D,2
-2.9873,121.5787,311,1.7,1.3,2023-01-13,0520,Aqua,MODIS,49,61.03,294.7,11.5,D,0
0.122,117.4795,309.6,3.1,1.7,2023-01-13,0521,Aqua,MODIS,0,61.03,290.5,33.9,D,2
-6.0314,105.9551,320.5,1.4,1.2,2023-01-13,0657,Aqua,MODIS,51,61.03,298.4,13.2,D,0
-4.8907,105.6499,327.2,1.4,1.2,2023-01-13,0658,Aqua,MODIS,80,61.03,294.2,31.1,D,0
-2.2989,102.4082,315,1,1,2023-01-13,0659,Aqua,MODIS,61,61.03,285.8,10.5,D,0
2.3747,98.1361,316.1,1.2,1.1,2023-01-13,0700,Aqua,MODIS,74,61.03,284.2,14,D,0
1.4309,99.408,320.2,1,1,2023-01-13,0700,Aqua,MODIS,75,61.03,295.6,12,D,0
-8.1196,112.9258,310.8,1,1,2023-01-13,1443,Terra,MODIS,80,61.03,282.7,12.4,N,1
-8.1106,112.9246,336.1,1,1,2023-01-13,1443,Terra,MODIS,100,61.03,282.3,40.1,N,1
-2.1593,115.5889,308.2,1.4,1.2,2023-01-13,1444,Terra,MODIS,73,61.03,292.5,10.8,N,2
-2.1611,115.5766,316.5,1.4,1.2,2023-01-13,1444,Terra,MODIS,93,61.03,293.1,20.9,N,2
-3.9022,122.4267,303.7,1.2,1.1,2023-01-13,1743,Aqua,MODIS,56,61.03,290.6,5.9,N,2
-8.1041,112.9265,303,2,1.4,2023-01-13,1744,Aqua,MODIS,52,61.03,277.6,21.1,N,1
-1.4571,127.4463,312.4,1.3,1.1,2023-01-14,0127,Terra,MODIS,0,61.03,293.9,8.3,D,2
-2.9246,132.9385,311.2,1.2,1.1,2023-01-14,0128,Terra,MODIS,63,61.03,294.2,6.5,D,0
-6.4502,107.4536,316.3,1.2,1.1,2023-01-14,0307,Terra,MODIS,54,61.03,296.5,8.9,D,2
-4.883,105.6539,312,1,1,2023-01-14,0307,Terra,MODIS,32,61.03,285.2,6.7,D,0
-4.8842,105.6627,319.7,1,1,2023-01-14,0307,Terra,MODIS,76,61.03,285.8,13.3,D,0
-6.0331,105.9558,323.6,1,1,2023-01-14,0307,Terra,MODIS,62,61.03,295.9,12.9,D,0
-6.1364,106.29,317.6,1,1,2023-01-14,0307,Terra,MODIS,58,61.03,299.3,9.1,D,2
-6.8795,108.7769,313,1.4,1.2,2023-01-14,0307,Terra,MODIS,58,61.03,294.2,7.3,D,2
-6.9294,108.0973,312.2,1.3,1.1,2023-01-14,0307,Terra,MODIS,29,61.03,296.2,6,D,0
-7.1015,109.3248,311.7,1.6,1.2,2023-01-14,0307,Terra,MODIS,58,61.03,293.8,9.9,D,2
-6.959,107.7983,321.5,1.2,1.1,2023-01-14,0307,Terra,MODIS,57,61.03,300.4,13.8,D,2
-6.9856,106.5537,313.9,1.1,1,2023-01-14,0307,Terra,MODIS,42,61.03,299.2,8,D,0
-6.6047,139.0449,312.5,1.1,1.1,2023-01-14,0422,Aqua,MODIS,36,61.03,292.9,6.8,D,0
-6.2034,138.8326,319.9,1.1,1.1,2023-01-14,0423,Aqua,MODIS,72,61.03,296.4,13.2,D,0
-6.5594,139.0522,322.1,1.1,1.1,2023-01-14,0423,Aqua,MODIS,64,61.03,295.7,16.4,D,0
-6.202,138.8428,320.7,1.1,1.1,2023-01-14,0423,Aqua,MODIS,73,61.03,295.9,14.3,D,0
-7.5687,112.6073,318.3,1.5,1.2,2023-01-14,0601,Aqua,MODIS,41,61.03,299.1,13.1,D,2
-8.2415,119.0724,321.8,1.1,1.1,2023-01-14,0601,Aqua,MODIS,39,61.03,297.7,14,D,0
-8.2322,119.0698,325.8,1.1,1.1,2023-01-14,0601,Aqua,MODIS,64,61.03,298.2,19.1,D,1
-8.2014,117.925,310.8,1,1,2023-01-14,0601,Aqua,MODIS,43,61.03,297,6.4,D,0
-2.8365,122.1526,313.4,2.3,1.5,2023-01-14,0602,Aqua,MODIS,15,61.03,291.2,17,D,2
-2.4728,111.2485,317.6,1.5,1.2,2023-01-14,0603,Aqua,MODIS,77,61.03,276.1,24,D,0
-1.2968,113.065,313,1.1,1.1,2023-01-14,0603,Aqua,MODIS,68,61.03,286.1,8.6,D,0
4.0814,116.8872,323.3,1.2,1.1,2023-01-14,0604,Aqua,MODIS,80,61.03,288.3,21.4,D,0
3.9401,115.7475,303.6,1.1,1,2023-01-14,0604,Aqua,MODIS,42,61.03,281.3,4.8,D,0
-1.4576,127.4358,328.4,1,1,2023-01-14,1347,Terra,MODIS,100,61.03,294.6,26.9,N,2
-8.1158,112.9374,305.8,1.7,1.3,2023-01-14,1826,Aqua,MODIS,66,61.03,268.4,24.2,N,1
1.4503,125.1779,313.3,1.5,1.2,2023-01-15,0208,Terra,MODIS,0,61.03,298.2,12.6,D,0
-2.5797,121.375,308.3,1,1,2023-01-15,0209,Terra,MODIS,37,61.03,282.5,4.1,D,2
-2.581,121.3843,326.5,1,1,2023-01-15,0209,Terra,MODIS,63,61.03,284.2,21.5,D,2
-2.8317,122.1736,310.1,1.1,1.1,2023-01-15,0209,Terra,MODIS,0,61.03,286.2,6.7,D,2
-8.2471,119.0699,321.4,1,1,2023-01-15,0210,Terra,MODIS,0,61.03,281.6,14.8,D,0
-7.2028,131.9219,314.8,1,1,2023-01-15,0505,Aqua,MODIS,55,61.03,289.4,7.4,D,0
-1.5094,121.5391,308.7,2.9,1.6,2023-01-15,0507,Aqua,MODIS,41,61.03,286.2,25.9,D,0
-1.5644,127.423,321.4,1.1,1.1,2023-01-15,0507,Aqua,MODIS,19,61.03,299.2,9.1,D,0
0.5205,122.596,310.7,2.2,1.4,2023-01-15,0507,Aqua,MODIS,47,61.03,293.3,17.8,D,0
-5.4948,105.3701,316.3,1,1,2023-01-15,0644,Aqua,MODIS,70,61.03,292.9,9.1,D,0
-4.4745,104.5284,307.5,1,1,2023-01-15,0645,Aqua,MODIS,40,61.03,278.7,5.6,D,0
0.8003,117.5328,306.7,2.5,1.5,2023-01-16,0249,Terra,MODIS,27,61.03,284.2,12.4,D,0
-2.542,111.2051,356,1.1,1,2023-01-16,0250,Terra,MODIS,98,61.03,295.1,75.2,D,0
-2.4749,111.2495,313.1,1.1,1,2023-01-16,0250,Terra,MODIS,65,61.03,291.1,6.2,D,0
-2.5329,111.2064,319.6,1.1,1,2023-01-16,0250,Terra,MODIS,72,61.03,295.4,11.6,D,0
-8.12,112.9291,315.9,1.5,1.2,2023-01-16,0252,Terra,MODIS,0,61.03,288.2,25.3,D,1
-2.5765,121.3841,348.1,1.2,1.1,2023-01-16,0549,Aqua,MODIS,84,61.03,295.5,63.9,D,2
-2.5815,121.3809,366,1.2,1.1,2023-01-16,0549,Aqua,MODIS,100,61.03,302.1,118.6,D,2
-2.578,121.3736,332.2,1.2,1.1,2023-01-16,0549,Aqua,MODIS,85,61.03,299.3,29.7,D,2
-0.2066,109.2696,321.2,3.7,1.8,2023-01-16,0550,Aqua,MODIS,53,61.03,273,110.8,D,0
-0.215,109.2665,317.4,3.7,1.8,2023-01-16,0550,Aqua,MODIS,55,61.03,273.3,83,D,0
2.2148,116.994,316.6,1,1,2023-01-16,0550,Aqua,MODIS,74,61.03,295.4,10.2,D,0
0.8571,116.9681,314.1,1,1,2023-01-16,0550,Aqua,MODIS,69,61.03,293.9,8.7,D,0
0.8557,116.9588,311.9,1,1,2023-01-16,0550,Aqua,MODIS,60,61.03,295.3,7.2,D,0
-1.1757,114.9548,310.5,1.4,1.2,2023-01-16,0550,Aqua,MODIS,59,61.03,290.4,9.8,D,0
-1.1775,114.9424,309,1.4,1.2,2023-01-16,0550,Aqua,MODIS,42,61.03,289.2,7.9,D,0
-1.001,113.216,313.6,1.9,1.3,2023-01-16,0550,Aqua,MODIS,72,61.03,281.1,27.1,D,0
-1.0067,113.2101,306.3,1.9,1.3,2023-01-16,0550,Aqua,MODIS,45,61.03,281,12.9,D,0
4.1503,116.9364,312.6,1,1,2023-01-16,0551,Aqua,MODIS,67,61.03,296,6.1,D,0
4.239,117.2334,318.2,1,1,2023-01-16,0551,Aqua,MODIS,74,61.03,295.2,9.9,D,0
3.9241,108.1202,315.5,1.4,1.2,2023-01-16,1511,Terra,MODIS,88,61.03,292.7,20,N,0
3.9187,108.1274,319.4,1.4,1.2,2023-01-16,1511,Terra,MODIS,98,61.03,293,26.2,N,0
3.9137,108.1217,306.2,1.4,1.2,2023-01-16,1511,Terra,MODIS,42,61.03,292.8,9.2,N,0
3.9258,108.1328,311.2,1.4,1.2,2023-01-16,1511,Terra,MODIS,74,61.03,292.4,14.5,N,0
3.9227,108.1441,305.6,2,1.4,2023-01-16,1810,Aqua,MODIS,35,61.03,290.3,16.5,N,0
3.9253,108.1265,310.3,2,1.4,2023-01-16,1810,Aqua,MODIS,70,61.03,290.7,24.6,N,0
3.9294,108.1326,316.7,2,1.4,2023-01-16,1810,Aqua,MODIS,91,61.03,290.8,38.5,N,0
0.4848,127.9989,322.9,1.3,1.1,2023-01-17,0152,Terra,MODIS,60,61.03,298.5,24.7,D,2
-1.4599,127.4391,319.8,1.3,1.1,2023-01-17,0152,Terra,MODIS,0,61.03,297.1,18,D,2
0.4865,127.9875,319.5,1.3,1.1,2023-01-17,0152,Terra,MODIS,0,61.03,298.5,18,D,2
1.1131,104.058,318.6,1.4,1.2,2023-01-17,0330,Terra,MODIS,33,61.03,297.8,13.4,D,2
-5.7038,139.4957,311.5,2,1.4,2023-01-17,0452,Aqua,MODIS,23,61.03,287.6,11.2,D,0
-0.745,133.8378,327.6,1,1,2023-01-17,0453,Aqua,MODIS,73,61.03,288.6,24.4,D,0
-0.3797,112.2587,315.5,1.6,1.2,2023-01-17,0632,Aqua,MODIS,69,61.03,293.8,13.1,D,0
-0.2015,109.2701,324.8,1.1,1,2023-01-17,0632,Aqua,MODIS,44,61.03,296.1,14.4,D,0
-0.2595,109.4986,319.1,1.1,1,2023-01-17,0632,Aqua,MODIS,51,61.03,299.4,9.4,D,0
-0.7043,109.2965,314.6,1.1,1,2023-01-17,0632,Aqua,MODIS,56,61.03,286.7,8.5,D,0
-0.7134,109.2978,330.4,1.1,1,2023-01-17,0632,Aqua,MODIS,79,61.03,287.4,26.4,D,0
0.541,109.0587,314.5,1.1,1,2023-01-17,0633,Aqua,MODIS,52,61.03,295.5,8.2,D,0
0.1586,109.4076,317.1,1.1,1,2023-01-17,0633,Aqua,MODIS,68,61.03,296.2,7.8,D,0
3.9169,108.1381,354.8,1,1,2023-01-17,0634,Aqua,MODIS,97,61.03,299,70,D,0
3.9156,108.1288,367.6,1,1,2023-01-17,0634,Aqua,MODIS,87,61.03,300.6,107.7,D,0
3.926,108.1368,339.1,1,1,2023-01-17,0634,Aqua,MODIS,89,61.03,297.5,36.8,D,0
3.9247,108.1275,341.7,1,1,2023-01-17,0634,Aqua,MODIS,86,61.03,295.9,41.7,D,0
-2.5712,121.3855,311.2,1.1,1,2023-01-17,1412,Terra,MODIS,76,61.03,287.1,10.1,N,2
-2.5816,121.3775,301.9,1.1,1,2023-01-17,1412,Terra,MODIS,36,61.03,283.2,4.8,N,2
-2.5802,121.3869,307.6,1.1,1,2023-01-17,1412,Terra,MODIS,72,61.03,285.2,8.2,N,2
